,question,context,long_answer,gpt_question
664,Do people who were passive smokers during childhood have increased risk of long-term work disability?,"Regular inhalation of tobacco smoke, whether it be voluntary or not, may have profound negative effects on the body. Also intervertebral discs may be affected. The objective of the present study was to test the hypothesis that nurses' aides who were exposed to environmental tobacco smoke (ETS) at home during childhood have an increased risk of long-term sick leave.The sample comprised 5563 Norwegian nurses' aides, not on sick leave when they completed a mailed questionnaire in 1999. Of these, 4744 (85.3%) completed a second questionnaire 15 months later. The outcome measure was the incidence proportion of long-term sick leave during the 12 months prior to the follow-up.Respondents who reported at baseline that they had been exposed to ETS at home during childhood had increased risk of sick leave exceeding 14 days attributed to neck pain (odds ratio (OR) = 1.34; 95% confidence interval (CI): 1.04-1.73), high back pain (OR=1.49; CI: 1.07-2.06), low back pain (OR=1.21; CI: 0.97-1.50), and any illness (OR=1.23; CI: 1.07-1.42), after adjustments for demographic and familial characteristics, former smoking, current smoking, physical leisure-time activities, work factors, prior neck injury, and affective symptoms. They also had increased risk of sick leave exceeding 8 weeks (OR=1.29; CI: 1.08-1.55).",The study supports the hypothesis that nurses' aides who were exposed to ETS at home during childhood have an increased risk of long-term sickness absence.,
665,Is the covering of the resection margin after distal pancreatectomy advantageous?,"In recent years, many advances in pancreatic surgery have been achieved. Nevertheless, the rate of pancreatic fistula following pancreatic tail resection does not differ between various techniques, still reaching up to 30% in prospective multicentric studies. Taking into account contradictory results concerning the usefulness of covering resection margins after distal pancreatectomy, we sought to perform a systematic, retrospective analysis of patients that underwent distal pancreatectomy at our center.We retrospectively analysed the data of 74 patients that underwent distal pancreatectomy between 2001 and 2011 at the community hospital in Neuss. Demographic factors, indications, postoperative complications, surgical or interventional revisions, and length of hospital stay were registered to compare the outcome of patients undergoing distal pancreatectomy with coverage of the resection margins vs. patients undergoing distal pancreatectomy without coverage of the resection margins. Differences between groups were calculated using Fisher's exact and Mann-Whitney U test.Main indications for pancreatic surgery were insulinoma (n=18, 24%), ductal adenocarcinoma (n=9, 12%), non-single-insulinoma-pancreatogenic-hypoglycemia-syndrome (NSIPHS) (n=8, 11%), and pancreatic cysts with pancreatitis (n=8, 11%). In 39 of 74 (53%) patients no postoperative complications were noted. In detail we found that 23/42 (55%) patients with coverage vs. 16/32 (50%) without coverage of the resection margins had no postoperative complications. The most common complications were pancreatic fistulas in eleven patients (15%), and postoperative bleeding in nine patients (12%). Pancreatic fistulas occurred in patients without coverage of the resection margins in 7/32 (22%) vs. 4/42 (1011%) with coverage are of the resection margins, yet without reaching statistical significance. Postoperative bleeding ensued with equal frequency in both groups (12% with coverage versus 13% without coverage of the resection margins). The reoperation rate was 8%. The hospital stay for patients without coverage was 13 days (5-60) vs. 17 days (8-60) for patients with coverage.","The results show no significant difference in the fistula rate after covering of the resection margin after distal pancreatectomy, which contributes to the picture of an unsolved problem.",
666,Does treatment duration affect outcome after radiotherapy for prostate cancer?,"The protraction of external beam radiotherapy (RT) time is detrimental in several disease sites. In prostate cancer, the overall treatment time can be considerable, as can the potential for treatment breaks. We evaluated the effect of elapsed treatment time on outcome after RT for prostate cancer.Between April 1989 and November 2004, 1,796 men with prostate cancer were treated with RT alone. The nontreatment day ratio (NTDR) was defined as the number of nontreatment days divided by the total elapsed days of RT. This ratio was used to account for the relationship between treatment duration and total RT dose. Men were stratified into low risk (n = 789), intermediate risk (n = 798), and high risk (n = 209) using a single-factor model.The 10-year freedom from biochemical failure (FFBF) rate was 68% for a NTDR<33% vs. 58% for NTDR>/=33% (p = 0.02; BF was defined as a prostate-specific antigen nadir + 2 ng/mL). In the low-risk group, the 10-year FFBF rate was 82% for NTDR<33% vs. 57% for NTDR>/=33% (p = 0.0019). The NTDR was independently predictive for FFBF (p = 0.03), in addition to T stage (p = 0.005) and initial prostate-specific antigen level (p<0.0001) on multivariate analysis, including Gleason score and radiation dose. The NTDR was not a significant predictor of FFBF when examined in the intermediate-risk group, high-risk group, or all risk groups combined.","A proportionally longer treatment duration was identified as an adverse factor in low-risk patients. Treatment breaks resulting in a NTDR of>/=33% (e.g., four or more breaks during a 40-fraction treatment, 5 d/wk) should be avoided.",
667,Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,"The solitary kidney (SK) is currently debated in the literature, as living kidney donation is extensively used and the diagnosis of congenital SK is frequent. Tubulointerstitial lesions associated with adaptive phenomena may occur early within the SK.Analysis of the significance of urinary biomarkers in the assessment of tubulointerstitial lesions of the SK.A cross-sectional study of 37 patients with SK included 18 patients-acquired SK (mean age 56.44 ± 12.20 years, interval from nephrectomy 10.94 ± 9.37 years), 19 patients-congenital SK (mean age 41.52 ± 10.54 years). Urinary NAG, urinary alpha-1-microglobulin, albuminuria, eGFR (CKD-EPI equation) were measured.In acquired SK, NAG increased in 60.66%, urinary alpha 1-microglobulin in 16.66%, albuminuria in 55.55% of patients. Inverse correlation with eGFR presented NAG (R(2 )= 0.537, p = 0.022), urinary alpha 1-microglobulin (R(2 )= 0.702, p = 0.001), albuminuria (R(2 )= 0.655, p = 0.003). In congenital SK, NAG increased in 52.63%, urinary alpha 1-microglobulin in 5.26%, albuminuria in 47.36% of patients. In this group, urinary biomarkers correlated inversely with eGFR: NAG (R(2 )= 0.743, p < 0.001), urinary alpha 1-microglobulin (R(2 )= 0.701, p = 0.001), albuminuria (R(2 )= 0.821, p < 0.001). Significant correlations were found between the urinary biomarkers in both groups.","Urinary biomarkers allow a non-invasive, sensitive, early assessment of the tubular lesions of the SK. Urinary biomarkers of PT injury parallel renal function decline, thus complementing the estimation of GFR. Monitoring of PT dysfunction is mandatory in patients with SK.",
668,Is there a role for fondaparinux in perioperative bridging?,"A possible role for fondaparinux as a bridging agent in the perioperative setting is explored.Anticoagulation guidelines provide minimal direction on the perioperative use of fondaparinux. Fondaparinux's extended half-life of 17-21 hours complicates its use as a perioperative bridging therapy. The ideal time for discontinuation before surgery is an issue, particularly in surgeries with a high bleeding risk or in which neuraxial anesthesia is used. Guidance for perioperative bridging with fondaparinux must be derived from pharmacokinetic data, surgical prophylaxis trials, case reports, and anesthesia guidelines. Published trials used fondaparinux sodium 2.5 mg daily for venous thromboembolism prophylaxis in surgical patients, and the majority avoided its use before surgery in patients receiving neuraxial anesthesia. Three case reports cited the use of fondaparinux sodium as perioperative bridge therapy; one used a 2.5-mg dose, and the other two used a full treatment dose of 7.5 mg. Furthermore, professional anesthesia guidelines conflict in their recommendations regarding the timing of drug administration with neuraxial catheter use. For these reasons, it may be optimal to avoid fondaparinux use before surgery. In some instances, the use of low-molecular-weight heparin or inpatient use of i.v. unfractionated heparin is not possible, is contraindicated, or has limited efficacy, such as a patient with history of heparin-induced thrombocytopenia or antithrombin III deficiency. Fondaparinux may have a role in bridge therapy for these patients.","The role of fondaparinux in perioperative bridge therapy has not been established, and there are some important limitations to its use as a routine bridging agent.",
669,Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,"Chronic low back pain (CLBP) is often accompanied by an abnormal motor performance. However, it has not been clarified yet whether these deviations also occur during motor tasks not involving the back and whether the performance is influenced by pain and pain-related cognitions. Therefore, the aim of the present study is to get insight in the contribution of both pain experience and pain-related cognitions to general motor task performance in CLBP.13 CLBP patients and 15 healthy subjects performed a hand-function task in three conditions: sitting, lying prone (lying) and lying prone without trunk support (provoking). The last condition was assumed to provoke pain-related cognitions, which was considered successful when a patients' pain expectancy on a numeric rating scale was at least 1 point higher than actual pain experienced. Subjects' performance was expressed in reaction time and movement time. Repeated measures analysis of variance was performed to detect main effect for group and condition. Special interest was given to group*condition interaction, since significant interaction would indicate that patients and healthy subjects performed differently throughout the three conditions.Patients were slower throughout all conditions compared to healthy subjects. With respect to the provoking condition, patients showed deteriorated performance compared to lying while healthy subjects' performance remained equal between these two conditions. Further analysis of patients' data showed that provocation was successful in 54% of the patients. Especially this group showed deteriorated performance in the provoking condition.",It can be concluded that CLBP patients in general have worse motor task performance compared to healthy subjects and that provoking pain-related cognitions further worsened performance.,
670,Patient comprehension of emergency department care and instructions: are patients aware of when they do not understand?,"To be able to adhere to discharge instructions after a visit to the emergency department (ED), patients should understand both the care that they received and their discharge instructions. The objective of this study is to assess, at discharge, patients' comprehension of their ED care and instructions and their awareness of deficiencies in their comprehension.We conducted structured interviews of 140 adult English-speaking patients or their primary caregivers after ED discharge in 2 health systems. Participants rated their subjective understanding of 4 domains: (1) diagnosis and cause; (2) ED care; (3) post-ED care, and (4) return instructions. We assessed patient comprehension as the degree of agreement (concordance) between patients' recall of each of these domains and information obtained from chart review. Two authors scored each case independently and discussed discrepancies before providing a final concordance rating (no concordance, minimal concordance, partial concordance, near concordance, complete concordance).Seventy-eight percent of patients demonstrated deficient comprehension (less than complete concordance) in at least 1 domain; 51% of patients, in 2 or more domains. Greater than a third of these deficiencies (34%) involved patients' understanding of post-ED care, whereas only 15% were for diagnosis and cause. The majority of patients with comprehension deficits failed to perceive them. Patients perceived difficulty with comprehension only 20% of the time when they demonstrated deficient comprehension.","Many patients do not understand their ED care or their discharge instructions. Moreover, most patients appear to be unaware of their lack of understanding and report inappropriate confidence in their comprehension and recall.",
671,Can mandibular depiction be improved by changing the thickness of double-oblique computed tomography images?,"Multislice helical computed tomography (CT), which can provide detailed 2-D and 3-D reconstructed images, is useful in imaging diagnosis for dental implant treatment. Therefore, in this study, it was performed to clarify the mandibular depiction of double-oblique reconstructed images when changing their thickness.A total of 38 sites in the mandibular molar region were examined using multislice helical CT. The thicknesses of the double-oblique images using multislice helical CT scans were reconstructed in 4 conditions: 0.3 mm, 0.9 mm, 1.6 mm, and 4.1 mm. In double-oblique images, mandibular depiction was evaluated by 5 oral radiologists using a subjective rating score.In the alveolar crest and the whole of the mandibular canal, the highest value was obtained with 0.9 mm-thick images; however, there was no significant difference between 0.3 mm and 0.9 mm-thick images.",We concluded that depiction of the superior wall of the mandibular canal cannot be improved by changing the thickness of images.,
672,Adjuvant radiation of stage III thymoma: is it necessary?,"The criteria for administration of adjuvant radiation therapy after thymoma resection remains controversial, and it is unclear whether patients with Masaoka stage III thymoma benefit from adjuvant radiation. The goal of this report was to determine whether or not this group benefits from radiation therapy in disease-specific survival and disease-free survival.Case records of the Massachusetts General Hospital were retrospectively reviewed from 1972 to 2004. One hundred and seventy-nine patients underwent resection for thymoma, of which 45 had stage III disease.Forty-five stage III patients underwent resection and in 36 it was complete. Thirty-eight stage III patients received radiation therapy. Baseline prognostic factors between radiated and nonradiated groups were similar. The addition of adjuvant radiotherapy did not alter local or distant recurrence rates in patients with stage III thymoma. Disease-specific survival at 10 years in stage III patients who did not receive radiation was 75% (95% confidence interval, 32% to 100%) and in patients who did receive radiation therapy it was 79% (95% confidence interval, 64% to 94%) (p = 0.21). The most common site of relapse was the pleura.",Most patients who have stage III thymoma undergo complete resection. Some patients enjoy prolonged disease-free survival without adjuvant radiation after resection of stage III thymoma. Radiation does not seem to prevent pleural recurrences when given after resection of stage III thymomas. The use of routine adjuvant radiation after a complete resection of stage III thymoma needs to be re-addressed. There may be a role for the use of chemotherapy to reduce pleural recurrences.,
673,Inhibin: a new circulating marker of hydatidiform mole?,"To define the concentrations of inhibin in serum and tissue of patients with hydatidiform mole and assess their value as a clinical marker of the condition.Prospective study of new patients with hydatidiform mole, comparison of paired observations, and case-control analysis.A university hospital, two large public hospitals, and a private women's clinic in Japan.Seven consecutive referred patients seen over four months with newly diagnosed complete hydatidiform mole, including one in whom the mole was accompanied by viable twin fetuses (case excluded from statistical analysis because of unique clinical features). All patients followed up for six months after evacuation of molar tissue.Correlation of serum inhibin concentrations with trophoblastic disease.Serum concentrations of inhibin, human chorionic gonadotrophin, and follicle stimulating hormone were compared before and seven to 10 days after evacuation of the mole. Before evacuation the serum inhibin concentrations (median 8.3 U/ml; 95% confidence interval 2.4 to 34.5) were significantly greater than in 21 normal women at the same stage of pregnancy (2.8 U/ml; 2.1 to 3.6), and inhibin in molar tissue was also present in high concentrations (578 U/ml cytosol; 158 to 1162). Seven to 10 days after evacuation inhibin concentrations in serum samples from the same patients declined significantly to values (0.4 U/ml; 0.1 to 1.4) similar to those seen in the follicular phase of normal menstrual cycles. None of the four patients whose serum inhibin concentrations were 0.4 U/ml or less after evacuation developed persistent trophoblastic disease. Though serum human chorionic gonadotrophin concentrations declined after evacuation (6.6 x 10(3) IU/l; 0.8 x 10(3) to 32.6 x 10(3], they remained far higher than in non-pregnant women. Serum follicle stimulating hormone concentrations remained suppressed.",In this small study serum inhibin concentrations higher than those found in the early follicular phase one to two weeks after evacuation of a hydatidiform mole seemed to be specific for persistent trophoblastic disease. Further data are needed to confirm these promising results.,
674,Is the fibronectin-aggrecan complex present in cervical disk disease?,"To investigate the presence of inflammatory cytokines and the fibronectin-aggrecan complex (FAC) in persons undergoing surgical treatment for cervical radiculopathy caused by disk herniation.Single-center, prospective, consecutive case series.A single large academic institution.A total of 11 patients with radiculopathic pain and magnetic resonance imaging findings positive for disk herniation elected to undergo single-level cervical diskectomy.Lavage was performed by needle injection and aspiration upon entering the disk space for fluoroscopic localization before diskectomy.The lavage fluid was assayed for pH and the FAC, as well as for the cytokines interleukin-6 (IL-6), interferon-γ, monocyte chemotactic protein (MCP), and macrophage inhibitory protein-1β.The subjects were 7 women and 4 men with a mean age of 50.6 years (SE 9.7; range, 36-70 years). The mean concentrations (SE; range) in picograms per milliliter were 7.9 (4.4; 0-44) for IL-6, 25.3 (15.5; 0-159) for interferon-γ, 16.1 (11.9; 0-121) for MCP, and 6.1 (2.8; 0-29) for macrophage inhibitory protein-1β. The optical density of the FAC at 450 nm was 0.151 (0.036; 0.1-0.32), and the pH was 6.68 (0.1; 6.10-7.15). Statistically significant correlations were found between MCP and FAC (P = .036) and between FAC and pH (P = .008).","Biochemical analysis of injured cervical intervertebral disks reveals the presence of inflammatory markers such as MCP, fragments of structural matrix proteins such as FAC, and a correlation with pH. Further evaluation of the FAC as a potential diagnostic biomarker or therapeutic target is warranted in the cervical spine.",
