,contents_page,label,extraction
0,"Contents
3  Globalisation ...................................5
• What are the causes of globalisation and why 
has it accelerated in recent decades? 
• What are the impacts of globalisation for 
countries, different groups of people and 
cultures, and the physical environment?
• What are the consequences of globalisation 
for global development and the physical 
environment, and how should different players 
respond to its challenges?
Exam-style questions ................................17
4A  Regenerating places ....................19
• How and why do places vary?
• Why might regeneration be needed?
• How is regeneration managed?
• How successful is regeneration?
Exam-style questions ................................36
4B  Diverse places ...............................40
• How do population structures vary?
• How do different people view diverse living 
spaces?
• Why are there demographic and cultural 
tensions in diverse places?
• How successfully are cultural and 
demographic issues being managed?
Exam-style questions ................................56
7  Superpowers .................................60
• What are superpowers and how have they 
changed over time?
• What are the impacts of superpowers on the 
global economy, political systems and the 
physical environment?
• What spheres of influence are contested by 
superpowers and what are the implications of 
this?
Exam-style questions ................................70
8A  Health, human rights and  
intervention....................................72
• What is human development and why do 
levels vary from place to place?
• Why do human rights vary from place to 
place?
• How are human rights used as arguments for 
political and military intervention?
• What are the outcomes of geopolitical 
interventions in terms of human development 
and human rights?
Exam-style questions ................................84
8B  Migration, identity and  
sovereignty ....................................87
• What are the impacts of globalisation on 
international migration?
• How are nation states defined and how have 
they evolved in a globalising world?
• What are the impacts of global organisations 
on managing global issues and conflicts?
• What are the threats to national sovereignty in 
a more globalised world?
Exam-style questions ..............................100
",yes,"Chapter 3 Globalisation --- Page 5 
Exam-style questions --- Page 17 
Chapter 4A Regenerating places --- Page 19 
Exam-style questions --- Page 36 
Chapter 4B Diverse places --- Page 40 
Exam-style questions --- Page 56 
Chapter 7 Superpowers --- Page 60 
Exam-style questions --- Page 70 
Chapter 8A Health, human rights and intervention --- Page 72 
Exam-style questions --- Page 84 
Chapter 8B Migration, identity and sovereignty --- Page 87 
Exam-style questions --- Page 100"
1,"Contents
3 Internationalization ...................................6
• What initiates the process of internationalization and why 
has it gained momentum in recent years? 
• What effects does internationalization have on 
countries, diverse social groups, and 
cultures, as well as the physical environment?
• What are the implications of internationalization for global 
development and the physical 
environment, and how should various stakeholders 
address its challenges?
Exam-style questions ................................18
4A Renewing localities ....................20
• How and why do localities differ?
• Why might rejuvenation be necessary?
• How is the management of rejuvenation handled?
• To what extent is rejuvenation successful?
Exam-style questions ................................37
4B Varied localities ...............................41
• How do demographic structures differ?
• How do diverse communities perceive various residential 
areas?
• Why do demographic and cultural 
frictions arise in varied localities?
• How effectively are cultural and 
demographic issues being managed?
Exam-style questions ................................57
7 Dominant Powers .................................61
• What characterizes dominant powers and how have they 
transformed over time?
• What are the influences of dominant powers on the 
global economy, political systems, and the 
physical environment?
• Which areas of influence are contested by 
dominant powers and what are the repercussions of 
this?
Exam-style questions ................................71
8A Well-being, human rights and 
interference....................................73
• What is human well-being and why does it differ from place to place?
• Why do human rights vary from place to 
place?
• How are human rights used as justifications for 
political and military intervention?
• What are the outcomes of geopolitical 
interventions in terms of human well-being 
and human rights?
Exam-style questions ................................85
8B Movement, identity and 
autonomy ....................................88
• What are the consequences of internationalization on 
transnational migration?
• How are nation states delineated and how have 
they transformed in a globalized world?
• What are the influences of global organizations 
on addressing global issues and conflicts?
• What are the challenges to national autonomy in 
a more globalized world?
Exam-style questions ..............................101
",yes,"Chapter 3 Internationalization --- Page 6 
Exam-style questions --- Page 18 
Chapter 4A Renewing localities --- Page 20 
Exam-style questions --- Page 37 
Chapter 4B Varied localities --- Page 41 
Exam-style questions --- Page 57 
Chapter 7 Dominant Powers --- Page 61 
Exam-style questions --- Page 71 
Chapter 8A Well-being, human rights and interference --- Page 73 
Exam-style questions --- Page 85 
Chapter 8B Movement, identity and autonomy --- Page 88 
Exam-style questions --- Page 101"
2,"Contents
3 Global Integration ...................................8
• What triggers the process of global integration and why 
has it gained momentum in recent times? 
• What effects does global integration have on 
countries, diverse social groups, and 
cultures, as well as the physical environment?
• What are the implications of global integration for global 
development and the physical 
environment, and how should various actors 
respond to its challenges?
Exam-style questions ................................17
4A Revitalizing localities ....................19
• How and why do localities differ?
• Why might revitalization be necessary?
• How is revitalization managed?
• To what extent is revitalization successful?
Exam-style questions ................................36
4B Assorted localities ...............................40
• How do population structures differ?
• How do diverse communities perceive varied residential 
areas?
• Why do demographic and cultural 
tensions arise in assorted localities?
• How effectively are cultural and 
demographic issues being managed?
Exam-style questions ................................56
7 Global Powers .................................60
• What characterizes global powers and how have they 
transformed over time?
• What are the impacts of global powers on the 
global economy, political systems, and the 
physical environment?
• Which areas of influence are contested by 
global powers and what are the consequences of 
this?
Exam-style questions ................................70
8A Health, human rights and 
intervention....................................72
• What is human development and why do 
levels vary from place to place?
• Why do human rights vary from place to 
place?
• How are human rights used as justifications for 
political and military intervention?
• What are the outcomes of geopolitical 
interventions in terms of human development 
and human rights?
Exam-style questions ................................84
8B Migration, identity and 
sovereignty ....................................87
• What are the impacts of global integration on 
international migration?
• How are nation states defined and how have 
they evolved in a globalizing world?
• What are the impacts of global organizations 
on managing global issues and conflicts?
• What are the threats to national sovereignty in 
a more globalized world?
Exam-style questions ..............................100
",yes,"Chapter 3 Global Integration --- Page 8
Exam-style questions --- Page 17 
Chapter 4A Revitalizing localities --- Page 19 
Exam-style questions --- Page 36 
Chapter 4B Assorted localities --- Page 40 
Exam-style questions --- Page 56 
Chapter 7 Global Powers --- Page 60 
Exam-style questions --- Page 70 
Chapter 8A Health, human rights and intervention --- Page 72 
Exam-style questions --- Page 84 
Chapter 8B Migration, identity and sovereignty --- Page 87 
Exam-style questions --- Page 100"
3," 
 
 
Contents 
Qualification at a glance 
1 
Knowledge, skills and understanding 
5 
Science Practical Endorsement 
26 
Marking and standardisation 
30 
Malpractice 
31 
Assessment 
33 
Assessment summary 
33 
Assessment Objectives and weightings 
35 
Breakdown of Assessment Objectives 
35 
Entry and assessment information 
36 
Student entry 
36 
Discount codes and performance tables 
36 
Access arrangements, reasonable adjustments and special 
consideration 
37 
Equality Act 2010 and Pearson equality policy 
38 
Synoptic assessment 
38 
Awarding and reporting 
39 
Language of assessment 
39 
Other information 
41 
Student recruitment 
41 
Prior learning and other requirements 
41 
Progression 
41 
Relationship between Advanced Subsidiary GCE and 
Advanced GCE 
41 
Progression from Advanced Subsidiary GCE to Advanced 
GCE 
42 
Relationship between GCSE and Advanced GCE 
42 
Progression from GCSE to Advanced GCE 
42 
Appendix 1: Transferable skills 
45 
Appendix 2: Level 3 Extended Project qualification 
47 
Appendix 3: Codes 
51 
Appendix 4: Practical competency authentication 
sheet 
53 
Appendix 5: Working scientifically 
55 
Appendix 5a: Practical skills identified for indirect 
assessment and developed through teaching and 
learning 
57 
",yes,"Qualification at a glance --- 1 
Knowledge, skills and understanding --- 5 
Science Practical Endorsement --- 26 
Marking and standardisation --- 30 
Malpractice --- 31 
Assessment --- 33 
Assessment summary --- 33 
Assessment Objectives and weightings --- 35 
Breakdown of Assessment Objectives --- 35 
Entry and assessment information --- 36 
Student entry --- 36 
Discount codes and performance tables --- 36 
Access arrangements, reasonable adjustments and special consideration --- 37 
Equality Act 2010 and Pearson equality policy --- 38 
Synoptic assessment --- 38 
Awarding and reporting --- 39 
Language of assessment --- 39 
Other information --- 41 
Student recruitment --- 41 
Prior learning and other requirements --- 41 
Progression --- 41 
Relationship between Advanced Subsidiary GCE and Advanced GCE --- 41 
Progression from Advanced Subsidiary GCE to Advanced GCE --- 42 
Relationship between GCSE and Advanced GCE --- 42 
Progression from GCSE to Advanced GCE --- 42 
Appendix 1: Transferable skills --- 45 
Appendix 2: Level 3 Extended Project qualification --- 47 
Appendix 3: Codes --- 51 
Appendix 4: Practical competency authentication sheet --- 53 
Appendix 5: Working scientifically --- 55 
Appendix 5a: Practical skills identified for indirect assessment and developed through teaching and learning --- 57 "
4," 
 
Appendix 5b: Practical skills identified for direct 
assessment and developed through teaching and 
learning 
59 
Appendix 5c: Use of apparatus and techniques 
61 
Appendix 5d: Mapping between  Appendix 5c and 
core practicals (biology) 
63 
Appendix 6: Mathematical skills and 
exemplifications 
67 
Appendix 7: Command words used in examination 
papers 
73 
Appendix 8: Presentation by themes 
75 
Appendix 9: Support from the  University of York 
95 
 
 
",yes,"Appendix 5b: Practical skills identified for direct assessment and developed through teaching and learning --- 59 
Appendix 5c: Use of apparatus and techniques --- 61 
Appendix 5d: Mapping between  Appendix 5c and core practicals (biology) --- 63 
Appendix 6: Mathematical skills and exemplifications --- 67 
Appendix 7: Command words used in examination papers --- 73 
Appendix 8: Presentation by themes --- 75 
Appendix 9: Support from the  University of York --- 95"
5," 
 
 
Contents 
Program Overview 
1 
Understanding and Competence 
6 
Scientific Practical Validation 
27 
Grading and Calibration 
31 
Ethical Standards 
32 
Appraisal 
34 
Summary of Evaluations 
34 
Objectives and Allocations of Evaluations 
36 
Analysis of Evaluation Objectives 
36 
Entry and Evaluation Details 
37 
Student Registration Procedures 
37 
Promotion Codes and Result Metrics 
37 
Access Arrangements, Rational Adjustments, and Special 
Considerations 
38 
Equality Act 2010 and Pearson's Equality Guidelines 
39 
Integrated Evaluation 
39 
Recognition and Result Presentation 
40 
Language Used in Assessment 
40 
Additional Information 
42 
Student Recruitment Strategies 
42 
Previous Learning and Additional Requirements 
42 
Advancement Paths 
42 
Interconnection between Preliminary GCE and 
Higher-level GCE 
42 
Advancement from Preliminary GCE to Higher-level 
GCE 
43 
Interconnection between General Certificate of Secondary Education (GCSE) and Higher-level GCE 
43 
Advancement from GCSE to Higher-level GCE 
43 
Appendix 1: Adaptable Skills 
46 
Appendix 2: Level 3 Extended Project Qualification 
48 
Appendix 3: Coding Protocols 
52 
Appendix 4: Verification of Practical Competence 
Sheet 
54 
Appendix 5: Methodology in Scientific Work 
56 
Appendix 5a: Practical Abilities Recognized for Indirect 
Assessment and Developed through Teaching and 
Learning 
58 
",yes,"Program Overview --- 1 
Understanding and Competence --- 6 
Scientific Practical Validation --- 27 
Grading and Calibration --- 31 
Ethical Standards --- 32 
Appraisal --- 34 
Summary of Evaluations --- 34 
Objectives and Allocations of Evaluations --- 36 
Analysis of Evaluation Objectives --- 36 
Entry and Evaluation Details --- 37 
Student Registration Procedures --- 37 
Promotion Codes and Result Metrics --- 37 
Access Arrangements, Rational Adjustments, and Special Considerations --- 38 
Equality Act 2010 and Pearson's Equality Guidelines --- 39 
Integrated Evaluation --- 39 
Recognition and Result Presentation --- 40 
Language Used in Assessment --- 40 
Additional Information --- 42 
Student Recruitment Strategies --- 42 
Previous Learning and Additional Requirements --- 42 
Advancement Paths --- 42 
Interconnection between Preliminary GCE and Higher-level GCE --- 42 
Advancement from Preliminary GCE to Higher-level GCE --- 43 
Interconnection between General Certificate of Secondary Education (GCSE) and Higher-level GCE --- 43 
Advancement from GCSE to Higher-level GCE --- 43 
Appendix 1: Adaptable Skills --- 46 
Appendix 2: Level 3 Extended Project Qualification --- 48 
Appendix 3: Coding Protocols --- 52 
Appendix 4: Verification of Practical Competence Sheet --- 54 
Appendix 5: Methodology in Scientific Work --- 56 
Appendix 5a: Practical Abilities Recognized for Indirect Assessment and Developed through Teaching and Learning --- 58"
6,"
 
 
Contents 
Qualification Overview 
1 
Insight, Proficiency, and Knowledge 
5 
Scientific Practical Approval 
28 
Evaluation and Grading 
32 
Ethical Behavior 
33 
Appraisal Overview 
35 
Summary of Evaluations 
35 
Objectives and Weightings of Evaluations 
37 
Analysis of Evaluation Objectives 
37 
Entry and Evaluation Details 
38 
Student Entry Procedures 
38 
Promotion Codes and Result Metrics 
38 
Access Arrangements, Rational Adjustments, and Special 
Considerations 
39 
Equality Act 2010 and Pearson Equality Policies 
40 
Comprehensive Evaluation 
40 
Recognition and Outcome Presentation 
41 
Language Used in Appraisal 
41 
Additional Information 
43 
Student Recruitment Approaches 
43 
Previous Learning and Additional Prerequisites 
43 
Advancement Strategies 
43 
Interrelation between Advanced Subsidiary GCE and 
Advanced GCE 
43 
Advancement from Advanced Subsidiary GCE to Advanced 
GCE 
44 
Interrelation between GCSE and Advanced GCE 
44 
Advancement from GCSE to Advanced GCE 
44 
Appendix 1: Transferable Proficiencies 
47 
Appendix 2: Level 3 Extended Project Qualification 
49 
Appendix 3: Coding Protocols 
53 
Appendix 4: Verification of Practical Competence 
Sheet 
55 
Appendix 5: Scientific Methodology 
57 
Appendix 5a: Practical Skills Recognized for Indirect 
Assessment and Developed through Teaching and 
Learning 
59 
",yes,"Qualification Overview --- 1 
Insight, Proficiency, and Knowledge --- 5 
Scientific Practical Approval --- 28 
Evaluation and Grading --- 32 
Ethical Behavior --- 33 
Appraisal Overview --- 35 
Summary of Evaluations --- 35 
Objectives and Weightings of Evaluations --- 37 
Analysis of Evaluation Objectives --- 37 
Entry and Evaluation Details --- 38 
Student Entry Procedures --- 38 
Promotion Codes and Result Metrics --- 38 
Access Arrangements, Rational Adjustments, and Special Considerations --- 39 
Equality Act 2010 and Pearson Equality Policies --- 40 
Comprehensive Evaluation --- 40 
Recognition and Outcome Presentation --- 41 
Language Used in Appraisal --- 41 
Additional Information --- 43 
Student Recruitment Approaches --- 43 
Previous Learning and Additional Prerequisites --- 43 
Advancement Strategies --- 43 
Interrelation between Advanced Subsidiary GCE and Advanced GCE --- 43 
Advancement from Advanced Subsidiary GCE to Advanced GCE --- 44 
Interrelation between GCSE and Advanced GCE --- 44 
Advancement from GCSE to Advanced GCE --- 44 
Appendix 1: Transferable Proficiencies --- 47 
Appendix 2: Level 3 Extended Project Qualification --- 49 
Appendix 3: Coding Protocols --- 53 
Appendix 4: Verification of Practical Competence Sheet --- 55 
Appendix 5: Scientific Methodology --- 57 
Appendix 5a: Practical Skills Recognized for Indirect Assessment and Developed through Teaching and Learning --- 59"
7,"
 
Appendix 5b: Practical Proficiencies for Direct 
Assessment and Cultivation through Teaching and 
Learning 
60 
Appendix 5c: Utilization of Apparatus and Techniques 
62 
Appendix 5d: Correspondence between Appendix 5c and 
Core Practicals (Biology) 
64 
Appendix 6: Mathematical Abilities and 
Illustrations 
68 
Appendix 7: Terminology in Examination 
Documents 
74 
Appendix 8: Presentation by Topics 
76 
Appendix 9: Assistance from the University of York 
96 
 
",yes,"Appendix 5b: Practical Proficiencies for Direct Assessment and Cultivation through Teaching and Learning --- 60 
Appendix 5c: Utilization of Apparatus and Techniques --- 62 
Appendix 5d: Correspondence between Appendix 5c and Core Practicals (Biology) --- 64 
Appendix 6: Mathematical Abilities and Illustrations --- 68 
Appendix 7: Terminology in Examination Documents --- 74 
Appendix 8: Presentation by Topics --- 76 
Appendix 9: Assistance from the University of York --- 96"
8,"
 
Appendix 5b: Practical Abilities for Direct 
Evaluation and Enhancement through Teaching and 
Learning 
61 
Appendix 5c: Application of Instruments and Methods 
63 
Appendix 5d: Correspondence between Appendix 5c and 
Essential Practicals (Biology) 
65 
Appendix 6: Mathematical Competencies and 
Illustrations 
69 
Appendix 7: Directives in Examination 
Documents 
75 
Appendix 8: Display by Themes 
77 
Appendix 9: Assistance from the University of York 
97 
 
",yes,"Appendix 5b: Practical Abilities for Direct Evaluation and Enhancement through Teaching and Learning --- 61 
Appendix 5c: Application of Instruments and Methods --- 63 
Appendix 5d: Correspondence between Appendix 5c and Essential Practicals (Biology) --- 65 
Appendix 6: Mathematical Competencies and Illustrations --- 69 
Appendix 7: Directives in Examination Documents --- 75 
Appendix 8: Display by Themes --- 77 
Appendix 9: Assistance from the University of York --- 97"
9," 
 
 
2 
 
 
 
Contents 
Introduction 
3 
What are historical interpretations? 
4 
The illusion of ultimate history 
4 
History is a collective practice 
4 
What are the challenges to understanding? 
6 
Research on younger children’s thinking about historical interpretation 
6 
Research on 16-19 year-old students’ thinking about interpretation 
7 
Strategies 
8 
Interpretations, representations and constructions 
9 
Explaining why historians arrive at differing interpretations 
10 
Evaluating interpretations against appropriate and relevant criteria 
11 
Activities 
14 
Author Profile 
23 
Acknowledgements 
23 
 
 
",yes,"Introduction --- 3 
What are historical interpretations? --- 4 
The illusion of ultimate history --- 4 
History is a collective practice --- 4 
What are the challenges to understanding? --- 6 
Research on younger children’s thinking about historical interpretation --- 6 
Research on 16-19 year-old students’ thinking about interpretation --- 7 
Strategies --- 8 
Interpretations, representations and constructions --- 9 
Explaining why historians arrive at differing interpretations --- 10 
Evaluating interpretations against appropriate and relevant criteria --- 11 
Activities --- 14 
Author Profile --- 23 
Acknowledgements --- 23"
